Coluna1	Coluna2	Coluna3	Coluna4	 Coluna5 	Coluna6	Coluna7	Coluna8	Coluna9	Coluna10	Coluna11
Santoro		MySQL		780	10	41346	Pessoa Física	Lívia	Sábado	São Paulo
Leudissandro		HTML 7		980	11	40466	Pessoa Física	Rossana	Personalizado	São Paulo
Paola		Excel Básico		1020	10	40814	Pessoa Física	Euletério	Manhã	São Paulo
Andrázio		Excel Intermediário		1340	9	42433	Pessoa Jurídica	Fábio	Tarde	São Paulo
Luciana		Excel Avançado		1870	8	42175	Pessoa Jurídica	Joaquim	Noite	São Paulo
Florisbela		Excel BI		1910	10	41538	Pessoa Jurídica	Lívia	Integral	São Paulo
Leonardo		Excel VBA Básico		2240	11	41078	Pessoa Física	Rossana	Madrugada	São Paulo
Carlitos		Excel VBA avançado		2479	10	41544	Pessoa Jurídica	Euletério	Domingo	São Paulo
Flaviana		Access + VBA		3200	9	42236	Pessoa Física	Fábio	Segunda-feira	São Paulo
Santoro		JavaScript Básico		3921	8	41783	Pessoa Física	Joaquim	Personalizado	São Paulo
Leudissandro		JavaScript Avançado		780	10	41844	Pessoa Física	Lívia	Manhã	São Paulo
Paola		SQL Básico		980	12	40987	Pessoa Jurídica	Rossana	Tarde	São Paulo
Andrázio		SQL Avançado		1020	12	41683	Pessoa Jurídica	Euletério	Noite	São Paulo
Luciana		Css Básico		1340	10	42399	Pessoa Jurídica	Fábio	Integral	São Paulo
Florisbela		Css Avançado		1870	9	42474	Pessoa Física	Joaquim	Madrugada	São Paulo
Leonardo		MySQL		1910	12	40599	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Carlitos		HTML 8		2240	12	41411	Pessoa Física	Rossana	Quarta-feira	São Paulo
Flaviana		Excel Básico		2479	9	41154	Pessoa Física	Euletério	Personalizado	São Paulo
Santoro		Excel Intermediário		3200	9	41398	Pessoa Física	Fábio	Manhã	São Paulo
Leudissandro		Excel Avançado		3921	10	40535	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Paola		Excel BI		780	8	42192	Pessoa Jurídica	Lívia	Noite	Alagoas
Andrázio		Excel VBA Básico		980	10	40826	Pessoa Jurídica	Rossana	Integral	Bahia
Luciana		Excel VBA avançado		1020	8	41297	Pessoa Física	Euletério	Madrugada	Bahia
Florisbela		Access + VBA		1340	10	42184	Pessoa Jurídica	Fábio	Quinta-feira	Bahia
Leonardo		JavaScript Básico		1870	10	40850	Pessoa Física	Joaquim	Sexta-feira	Bahia
Carlitos		JavaScript Avançado		1910	8	40874	Pessoa Física	Lívia	Personalizado	Bahia
Flaviana		SQL Básico		2240	12	40527	Pessoa Física	Fábio	Manhã	Bahia
Santoro		SQL Avançado		2479	8	42332	Pessoa Jurídica	Joaquim	Tarde	Bahia
Leudissandro		Css Básico		3200	11	42364	Pessoa Jurídica	Lívia	Noite	Bahia
Paola		Css Avançado		3921	12	40884	Pessoa Jurídica	Rossana	Integral	Bahia
Andrázio		MySQL		780	10	41472	Pessoa Física	Euletério	Madrugada	Bahia
Luciana		HTML 9		980	10	40690	Pessoa Jurídica	Fábio	Sábado	Bahia
Florisbela		Excel Básico		1020	10	41558	Pessoa Física	Joaquim	Domingo	Bahia
Leonardo		Excel Intermediário		1340	10	40422	Pessoa Física	Lívia	Personalizado	Bahia
Carlitos		Excel Avançado		1870	8	41659	Pessoa Física	Rossana	Manhã	Brasília
Flaviana		Excel BI		1910	8	40033	Pessoa Jurídica	Euletério	Tarde	Brasília
Santoro		Excel VBA Básico		2240	10	40156	Pessoa Jurídica	Fábio	Noite	Ceará
Leudissandro		Excel VBA avançado		2479	9	40846	Pessoa Jurídica	Joaquim	Integral	Ceará
Paola		Access + VBA		3200	11	40450	Pessoa Física	Lívia	Madrugada	Ceará
Andrázio		JavaScript Básico		3921	11	40156	Pessoa Jurídica	Rossana	Segunda-feira	Ceará
Luciana		JavaScript Avançado		780	10	41531	Pessoa Física	Euletério	Terça-feira	Ceará
Florisbela		SQL Básico		980	12	41150	Pessoa Física	Fábio	Personalizado	Goiás
Leonardo		SQL Avançado		1020	11	40954	Pessoa Física	Joaquim	Manhã	Mato Grosso
Carlitos		Css Básico		1340	9	41236	Pessoa Jurídica	Lívia	Tarde	Mato Grosso
Flaviana		Css Avançado		1870	11	40444	Pessoa Jurídica	Rossana	Noite	Mato Grosso do Sul
Santoro		MySQL		1910	8	40787	Pessoa Jurídica	Euletério	Integral	Mato Grosso do Sul
Leudissandro		HTML 10		2240	11	41674	Pessoa Física	Fábio	Madrugada	Paraíba
Paola		Excel Básico		2479	12	41692	Pessoa Jurídica	Joaquim	Quarta-feira	Paraíba
Andrázio		Excel Intermediário		3200	11	40217	Pessoa Física	Lívia	Quinta-feira	Pernambuco
Luciana		Excel Avançado		3921	12	41608	Pessoa Física	Rossana	Personalizado	Pernambuco
Florisbela		Excel BI		780	12	41247	Pessoa Física	Euletério	Manhã	Pernambuco
Leonardo		Excel VBA Básico		980	8	41158	Pessoa Jurídica	Fábio	Tarde	Pernambuco
Carlitos		Excel VBA avançado		1020	10	41527	Pessoa Jurídica	Joaquim	Noite	Pernambuco
Flaviana		Access + VBA		1340	8	40439	Pessoa Jurídica	Lívia	Integral	Rio de Janeiro
Santoro		JavaScript Básico		1870	8	40747	Pessoa Física	Fábio	Madrugada	Rio de Janeiro
Leudissandro		JavaScript Avançado		1910	11	41277	Pessoa Jurídica	Joaquim	Sexta-feira	Rio de Janeiro
Paola		SQL Básico		2240	10	41035	Pessoa Física	Lívia	Sábado	Rio de Janeiro
Andrázio		SQL Avançado		2479	8	41054	Pessoa Física	Rossana	Personalizado	Rio Grande do Norte
Luciana		Css Básico		3200	10	40317	Pessoa Física	Euletério	Manhã	Santa Catarina
Florisbela		Css Avançado		3921	9	41985	Pessoa Jurídica	Fábio	Tarde	São Paulo
Leonardo		MySQL		780	8	40256	Pessoa Jurídica	Joaquim	Noite	São Paulo
Carlitos		HTML 11		980	10	40024	Pessoa Jurídica	Lívia	Integral	São Paulo
Flaviana		Excel Básico		1020	9	41808	Pessoa Física	Rossana	Madrugada	São Paulo
Santoro		Excel Intermediário		1340	12	42341	Pessoa Jurídica	Euletério	Domingo	São Paulo
Leudissandro		Excel Avançado		1870	9	41008	Pessoa Física	Fábio	Segunda-feira	São Paulo
Paola		Excel BI		1910	11	41620	Pessoa Física	Joaquim	Personalizado	São Paulo
Andrázio		Excel VBA Básico		2240	10	40138	Pessoa Física	Lívia	Manhã	São Paulo
Luciana		Excel VBA avançado		2479	11	42479	Pessoa Jurídica	Rossana	Tarde	São Paulo
Florisbela		Access + VBA		3200	11	40858	Pessoa Jurídica	Euletério	Noite	São Paulo
Leonardo		JavaScript Básico		3921	9	40281	Pessoa Jurídica	Fábio	Integral	São Paulo
Carlitos		JavaScript Avançado		780	11	41525	Pessoa Física	Joaquim	Madrugada	São Paulo
Flaviana		SQL Básico		980	8	41063	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Santoro		SQL Avançado		1020	9	41721	Pessoa Física	Rossana	Quarta-feira	Sergipe
Leudissandro		Css Básico		1340	8	40573	Pessoa Física	Euletério	Personalizado	Alagoas
Paola		Css Avançado		1870	10	40184	Pessoa Física	Fábio	Manhã	Amapá
Andrázio		MySQL		1910	10	42194	Pessoa Jurídica	Joaquim	Tarde	Bahia
Luciana		HTML 12		2240	9	41775	Pessoa Jurídica	Lívia	Noite	Bahia
Florisbela		Excel Básico		2479	11	42254	Pessoa Jurídica	Rossana	Integral	Brasília
Leonardo		Excel Intermediário		3200	12	40266	Pessoa Física	Euletério	Madrugada	Ceará
Carlitos		Excel Avançado		3921	9	40745	Pessoa Jurídica	Fábio	Quinta-feira	Ceará
Flaviana		Excel BI		780	10	40348	Pessoa Física	Joaquim	Sexta-feira	Ceará
Santoro		Excel VBA Básico		980	10	42280	Pessoa Física	Lívia	Personalizado	Espírito Santo
Leudissandro		Excel VBA avançado		1020	9	41470	Pessoa Física	Fábio	Manhã	Goiás
Paola		Access + VBA		1340	9	40050	Pessoa Jurídica	Joaquim	Tarde	Maranhão
Andrázio		JavaScript Básico		1870	11	40172	Pessoa Jurídica	Lívia	Noite	Minas Gerais
Luciana		JavaScript Avançado		1910	10	40587	Pessoa Jurídica	Rossana	Integral	Minas Gerais
Florisbela		SQL Básico		2240	11	41579	Pessoa Física	Euletério	Madrugada	Pará
Leonardo		SQL Avançado		2479	10	40048	Pessoa Jurídica	Fábio	Sábado	Paraíba
Carlitos		Css Básico		3200	9	42144	Pessoa Física	Joaquim	Domingo	Paraná
Flaviana		Css Avançado		3921	9	41528	Pessoa Física	Lívia	Personalizado	Paraná
Santoro		MySQL		780	10	42332	Pessoa Física	Rossana	Manhã	Paraná
Leudissandro		HTML 13		980	12	42405	Pessoa Jurídica	Euletério	Tarde	Pernambuco
Paola		Excel Básico		1020	11	41139	Pessoa Jurídica	Fábio	Noite	Pernambuco
Andrázio		Excel Intermediário		1340	11	42191	Pessoa Jurídica	Joaquim	Integral	Pernambuco
Luciana		Excel Avançado		1870	11	40961	Pessoa Física	Lívia	Madrugada	Rio de Janeiro
Florisbela		Excel BI		1910	11	41215	Pessoa Jurídica	Rossana	Segunda-feira	Rio de Janeiro
Leonardo		Excel VBA Básico		2240	10	40305	Pessoa Física	Euletério	Terça-feira	Rio de Janeiro
Carlitos		Excel VBA avançado		2479	9	42409	Pessoa Física	Fábio	Personalizado	Rio de Janeiro
Flaviana		Access + VBA		3200	8	41116	Pessoa Física	Joaquim	Manhã	Rio de Janeiro
Santoro		JavaScript Básico		3921	8	42259	Pessoa Jurídica	Lívia	Tarde	Rio Grande do Norte
Leudissandro		JavaScript Avançado		780	9	40070	Pessoa Jurídica	Rossana	Noite	Rio Grande do Sul
Paola		SQL Básico		980	10	40050	Pessoa Jurídica	Euletério	Integral	Rio Grande do Sul
Andrázio		SQL Avançado		1020	9	42485	Pessoa Física	Fábio	Madrugada	Roraima
Luciana		Css Básico		1340	12	41509	Pessoa Jurídica	Joaquim	Quarta-feira	Santa Catarina
Florisbela		Css Avançado		1870	10	41235	Pessoa Física	Lívia	Quinta-feira	Santa Catarina
Leonardo		MySQL		1910	10	40114	Pessoa Física	Rossana	Personalizado	Santa Catarina
Carlitos		HTML 14		2240	12	41531	Pessoa Física	Euletério	Manhã	Santa Catarina
Flaviana		Excel Básico		2479	10	41835	Pessoa Jurídica	Fábio	Tarde	São Paulo
Santoro		Excel Intermediário		3200	10	40559	Pessoa Jurídica	Joaquim	Noite	São Paulo
Leudissandro		Excel Avançado		3921	8	41425	Pessoa Jurídica	Lívia	Integral	São Paulo
Paola		Excel BI		780	10	41957	Pessoa Física	Fábio	Madrugada	São Paulo
Andrázio		Excel VBA Básico		980	11	41432	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Luciana		Excel VBA avançado		1020	12	40076	Pessoa Física	Lívia	Sábado	São Paulo
Florisbela		Access + VBA		1340	9	41806	Pessoa Física	Rossana	Personalizado	São Paulo
Leonardo		JavaScript Básico		1870	12	41489	Pessoa Física	Euletério	Manhã	São Paulo
Carlitos		JavaScript Avançado		1910	10	42221	Pessoa Jurídica	Fábio	Tarde	São Paulo
Flaviana		SQL Básico		2240	12	42460	Pessoa Jurídica	Joaquim	Noite	São Paulo
Santoro		SQL Avançado		2479	12	41818	Pessoa Jurídica	Lívia	Integral	São Paulo
Leudissandro		Css Básico		3200	12	41587	Pessoa Física	Rossana	Madrugada	Sergipe
Paola		Css Avançado		3921	12	40576	Pessoa Jurídica	Euletério	Domingo	Tocantins
Andrázio		MySQL		780	8	41472	Pessoa Física	Fábio	Segunda-feira	São Paulo
Luciana		HTML 15		980	8	40061	Pessoa Física	Joaquim	Personalizado	Bahia
Florisbela		Excel Básico		1020	10	40681	Pessoa Física	Lívia	Manhã	Minas Gerais
Leonardo		Excel Intermediário		1340	10	41609	Pessoa Jurídica	Rossana	Tarde	Minas Gerais
Carlitos		Excel Avançado		1870	10	41475	Pessoa Jurídica	Euletério	Noite	Paraná
Flaviana		Excel BI		1910	10	40379	Pessoa Jurídica	Fábio	Integral	Paraná
Santoro		Excel VBA Básico		2240	9	41644	Pessoa Física	Joaquim	Madrugada	Pernambuco
Leudissandro		Excel VBA avançado		2479	9	40177	Pessoa Jurídica	Lívia	Terça-feira	Rio de Janeiro
Paola		Access + VBA		3200	11	41726	Pessoa Física	Rossana	Quarta-feira	Rio de Janeiro
Andrázio		JavaScript Básico		3921	8	40894	Pessoa Física	Euletério	Personalizado	Rio de Janeiro
Luciana		JavaScript Avançado		780	9	40281	Pessoa Física	Fábio	Manhã	Rio Grande do Sul
Florisbela		SQL Básico		980	12	41066	Pessoa Jurídica	Joaquim	Tarde	Santa Catarina
Leonardo		SQL Avançado		1020	12	41557	Pessoa Jurídica	Lívia	Noite	Santa Catarina
Carlitos		Css Básico		1340	8	42165	Pessoa Jurídica	Rossana	Integral	Santa Catarina
Flaviana		Css Avançado		1870	10	40606	Pessoa Física	Euletério	Madrugada	São Paulo
Santoro		MySQL		1910	9	42341	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Leudissandro		HTML 16		2240	8	42096	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Paola		Excel Básico		2479	10	41929	Pessoa Física	Lívia	Personalizado	São Paulo
Andrázio		Excel Intermediário		3200	8	40326	Pessoa Física	Fábio	Manhã	São Paulo
Luciana		Excel Avançado		3921	11	40627	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Florisbela		Excel BI		780	9	41224	Pessoa Jurídica	Lívia	Noite	São Paulo
Leonardo		Excel VBA Básico		980	8	40887	Pessoa Jurídica	Rossana	Integral	São Paulo
Carlitos		Excel VBA avançado		1020	9	41459	Pessoa Física	Euletério	Madrugada	São Paulo
Flaviana		Access + VBA		1340	8	40401	Pessoa Jurídica	Fábio	Sábado	São Paulo
Santoro		JavaScript Básico		1870	11	40973	Pessoa Física	Joaquim	Domingo	São Paulo
Leudissandro		JavaScript Avançado		1910	11	41852	Pessoa Física	Lívia	Personalizado	São Paulo
Paola		SQL Básico		2240	8	41714	Pessoa Física	Rossana	Manhã	São Paulo
Andrázio		SQL Avançado		2479	12	40456	Pessoa Jurídica	Euletério	Tarde	São Paulo
Luciana		Css Básico		3200	8	42326	Pessoa Jurídica	Fábio	Noite	São Paulo
Florisbela		Css Avançado		3921	11	42129	Pessoa Jurídica	Joaquim	Integral	São Paulo
Leonardo		MySQL		780	9	40650	Pessoa Física	Lívia	Madrugada	São Paulo
Carlitos		HTML 17		980	9	41510	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Flaviana		Excel Básico		1020	9	40392	Pessoa Física	Euletério	Terça-feira	São Paulo
Santoro		Excel Intermediário		1340	10	42211	Pessoa Física	Fábio	Personalizado	São Paulo
Leudissandro		Excel Avançado		1870	11	41064	Pessoa Física	Joaquim	Manhã	São Paulo
Paola		Excel BI		1910	9	41084	Pessoa Jurídica	Lívia	Tarde	São Paulo
Andrázio		Excel VBA Básico		2240	8	41270	Pessoa Jurídica	Rossana	Noite	São Paulo
Luciana		Excel VBA avançado		2479	10	40616	Pessoa Jurídica	Euletério	Integral	São Paulo
Florisbela		Access + VBA		3200	10	40092	Pessoa Física	Fábio	Madrugada	São Paulo
Leonardo		JavaScript Básico		3921	10	41821	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Carlitos		JavaScript Avançado		780	9	40036	Pessoa Física	Lívia	Quinta-feira	São Paulo
Flaviana		SQL Básico		980	10	40220	Pessoa Física	Rossana	Personalizado	São Paulo
Santoro		SQL Avançado		1020	9	40799	Pessoa Física	Euletério	Manhã	São Paulo
Leudissandro		Css Básico		1340	11	42396	Pessoa Jurídica	Fábio	Tarde	São Paulo
Paola		Css Avançado		1870	8	42416	Pessoa Jurídica	Joaquim	Noite	São Paulo
Andrázio		MySQL		1910	10	40598	Pessoa Jurídica	Lívia	Integral	São Paulo
Luciana		HTML 18		2240	9	40519	Pessoa Física	Fábio	Madrugada	São Paulo
Florisbela		Excel Básico		2479	10	41791	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Leonardo		Excel Intermediário		3200	12	42039	Pessoa Física	Lívia	Sábado	São Paulo
Carlitos		Excel Avançado		3921	9	42323	Pessoa Física	Rossana	Personalizado	São Paulo
Flaviana		Excel BI		780	12	40612	Pessoa Física	Euletério	Manhã	São Paulo
Santoro		Excel VBA Básico		980	10	42351	Pessoa Jurídica	Fábio	Tarde	Bahia
Leudissandro		Excel VBA avançado		1020	12	40918	Pessoa Jurídica	Joaquim	Noite	Brasília
Paola		Access + VBA		1340	10	40747	Pessoa Jurídica	Lívia	Integral	Ceará
Andrázio		JavaScript Básico		1870	10	41049	Pessoa Física	Rossana	Madrugada	Minas Gerais
Luciana		JavaScript Avançado		1910	12	41688	Pessoa Jurídica	Euletério	Domingo	Minas Gerais
Florisbela		SQL Básico		2240	12	40382	Pessoa Física	Fábio	Segunda-feira	Minas Gerais
Leonardo		SQL Avançado		2479	11	40271	Pessoa Física	Joaquim	Personalizado	Minas Gerais
Carlitos		Css Básico		3200	8	40031	Pessoa Física	Lívia	Manhã	Paraíba
Flaviana		Css Avançado		3921	9	40730	Pessoa Jurídica	Rossana	Tarde	Paraná
Santoro		MySQL		780	8	41783	Pessoa Jurídica	Euletério	Noite	Pernambuco
Leudissandro		HTML 19		980	10	42042	Pessoa Jurídica	Fábio	Integral	Pernambuco
Paola		Excel Básico		1020	12	40250	Pessoa Física	Joaquim	Madrugada	Pernambuco
Andrázio		Excel Intermediário		1340	11	40411	Pessoa Jurídica	Lívia	Terça-feira	Rio de Janeiro
Luciana		Excel Avançado		1870	8	40385	Pessoa Física	Rossana	Quarta-feira	Rio de Janeiro
Florisbela		Excel BI		1910	9	40090	Pessoa Física	Euletério	Personalizado	Rio de Janeiro
Leonardo		Excel VBA Básico		2240	9	42111	Pessoa Física	Fábio	Manhã	Rio de Janeiro
Carlitos		Excel VBA avançado		2479	12	40509	Pessoa Jurídica	Joaquim	Tarde	Rio Grande do Sul
Flaviana		Access + VBA		3200	8	40993	Pessoa Jurídica	Lívia	Noite	São Paulo
Santoro		JavaScript Básico		3921	10	40423	Pessoa Jurídica	Rossana	Integral	São Paulo
Leudissandro		JavaScript Avançado		780	12	42264	Pessoa Física	Euletério	Madrugada	São Paulo
Paola		SQL Básico		980	9	41597	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Andrázio		SQL Avançado		1020	8	41659	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Luciana		Css Básico		1340	11	41436	Pessoa Física	Lívia	Personalizado	São Paulo
Florisbela		Css Avançado		1870	11	41113	Pessoa Física	Fábio	Manhã	São Paulo
Leonardo		MySQL		1910	9	40542	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Carlitos		HTML 20		2240	9	41169	Pessoa Jurídica	Lívia	Noite	São Paulo
Flaviana		Excel Básico		2479	8	42172	Pessoa Jurídica	Rossana	Integral	Bahia
Santoro		Excel Intermediário		3200	12	41575	Pessoa Física	Euletério	Madrugada	Bahia
Leudissandro		Excel Avançado		3921	10	40354	Pessoa Jurídica	Fábio	Sábado	Bahia
Paola		Excel BI		780	10	42099	Pessoa Física	Joaquim	Domingo	Brasília
Andrázio		Excel VBA Básico		980	9	41766	Pessoa Física	Lívia	Personalizado	Minas Gerais
Luciana		Excel VBA avançado		1020	11	42068	Pessoa Física	Rossana	Manhã	Minas Gerais
Florisbela		Access + VBA		1340	9	42153	Pessoa Jurídica	Euletério	Tarde	Minas Gerais
Leonardo		JavaScript Básico		1870	11	40258	Pessoa Jurídica	Fábio	Noite	Minas Gerais
Carlitos		JavaScript Avançado		1910	10	40606	Pessoa Jurídica	Joaquim	Integral	Minas Gerais
Flaviana		SQL Básico		2240	8	42040	Pessoa Física	Lívia	Madrugada	Paraná
Santoro		SQL Avançado		2479	10	40950	Pessoa Jurídica	Rossana	Segunda-feira	Paraná
Leudissandro		Css Básico		3200	11	42395	Pessoa Física	Euletério	Terça-feira	Piauí
Paola		Css Avançado		3921	10	41902	Pessoa Física	Fábio	Personalizado	Rio de Janeiro
Andrázio		MySQL		780	11	40124	Pessoa Física	Joaquim	Manhã	Rio de Janeiro
Luciana		HTML 21		980	12	41723	Pessoa Jurídica	Lívia	Tarde	Rio de Janeiro
Florisbela		Excel Básico		1020	8	40845	Pessoa Jurídica	Rossana	Noite	Rio Grande do Sul
Leonardo		Excel Intermediário		1340	10	41601	Pessoa Jurídica	Euletério	Integral	Rio Grande do Sul
Carlitos		Excel Avançado		1870	11	40268	Pessoa Física	Fábio	Madrugada	Rio Grande do Sul
Flaviana		Excel BI		1910	9	41454	Pessoa Jurídica	Joaquim	Quarta-feira	Santa Catarina
Santoro		Excel VBA Básico		2240	8	40790	Pessoa Física	Lívia	Quinta-feira	Santa Catarina
Leudissandro		Excel VBA avançado		2479	12	40550	Pessoa Física	Rossana	Personalizado	Santa Catarina
Paola		Access + VBA		3200	11	41800	Pessoa Física	Euletério	Manhã	São Paulo
Andrázio		JavaScript Básico		3921	9	41849	Pessoa Jurídica	Fábio	Tarde	São Paulo
Luciana		JavaScript Avançado		780	10	40894	Pessoa Jurídica	Joaquim	Noite	São Paulo
Florisbela		SQL Básico		980	10	42369	Pessoa Jurídica	Lívia	Integral	São Paulo
Leonardo		SQL Avançado		1020	12	40777	Pessoa Física	Fábio	Madrugada	São Paulo
Carlitos		Css Básico		1340	8	40020	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Flaviana		Css Avançado		1870	11	41047	Pessoa Física	Lívia	Sábado	São Paulo
Santoro		MySQL		1910	10	40248	Pessoa Física	Rossana	Personalizado	São Paulo
Leudissandro		HTML 22		2240	11	41463	Pessoa Física	Euletério	Manhã	São Paulo
Paola		Excel Básico		2479	10	41872	Pessoa Jurídica	Fábio	Tarde	São Paulo
Andrázio		Excel Intermediário		3200	12	42022	Pessoa Jurídica	Joaquim	Noite	São Paulo
Luciana		Excel Avançado		3921	9	40321	Pessoa Jurídica	Lívia	Integral	São Paulo
Florisbela		Excel BI		780	10	40597	Pessoa Física	Rossana	Madrugada	São Paulo
Leonardo		Excel VBA Básico		980	10	40576	Pessoa Jurídica	Euletério	Domingo	São Paulo
Carlitos		Excel VBA avançado		1020	9	41447	Pessoa Física	Fábio	Segunda-feira	São Paulo
Flaviana		Access + VBA		1340	12	42077	Pessoa Física	Joaquim	Personalizado	São Paulo
Santoro		JavaScript Básico		1870	9	42006	Pessoa Física	Lívia	Manhã	São Paulo
Leudissandro		JavaScript Avançado		1910	10	40112	Pessoa Jurídica	Rossana	Tarde	São Paulo
Paola		SQL Básico		2240	8	41636	Pessoa Jurídica	Euletério	Noite	São Paulo
Andrázio		SQL Avançado		2479	12	41085	Pessoa Jurídica	Fábio	Integral	São Paulo
Luciana		Css Básico		3200	10	40617	Pessoa Física	Joaquim	Madrugada	São Paulo
Florisbela		Css Avançado		3921	9	41987	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Leonardo		MySQL		780	11	42214	Pessoa Física	Rossana	Quarta-feira	São Paulo
Carlitos		HTML 23		980	10	40553	Pessoa Física	Euletério	Personalizado	São Paulo
Flaviana		Excel Básico		1020	11	41620	Pessoa Física	Fábio	Manhã	São Paulo
Santoro		Excel Intermediário		1340	8	40346	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Leudissandro		Excel Avançado		1870	10	41673	Pessoa Jurídica	Lívia	Noite	São Paulo
Paola		Excel BI		1910	12	40690	Pessoa Jurídica	Rossana	Integral	São Paulo
Andrázio		Excel VBA Básico		2240	11	40395	Pessoa Física	Euletério	Madrugada	São Paulo
Luciana		Excel VBA avançado		2479	12	41038	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Florisbela		Access + VBA		3200	12	41482	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Leonardo		JavaScript Básico		3921	10	42433	Pessoa Física	Lívia	Personalizado	Alagoas
Carlitos		JavaScript Avançado		780	8	42355	Pessoa Física	Fábio	Manhã	Alagoas
Flaviana		SQL Básico		980	9	40746	Pessoa Jurídica	Joaquim	Tarde	Bahia
Santoro		SQL Avançado		1020	12	40052	Pessoa Jurídica	Lívia	Noite	Bahia
Leudissandro		Css Básico		1340	11	41503	Pessoa Jurídica	Rossana	Integral	Bahia
Paola		Css Avançado		1870	11	42196	Pessoa Física	Euletério	Madrugada	Bahia
Andrázio		MySQL		1910	10	41573	Pessoa Jurídica	Fábio	Sábado	Bahia
Luciana		HTML 24		2240	8	40785	Pessoa Física	Joaquim	Domingo	Bahia
